method	path	handler	auth	source	migration_category	dynamic	transport
POST	/api/v1/admin/proxies/batch	h.Admin.Proxy.BatchCreate	admin JWT + AdminComplianceGuard	backend/internal/server/routes/admin.go:425	admin/proxies	no	http
POST	/api/v1/admin/proxies/batch-delete	h.Admin.Proxy.BatchDelete	admin JWT + AdminComplianceGuard	backend/internal/server/routes/admin.go:424	admin/proxies	no	http
GET	/api/v1/admin/proxies/data	h.Admin.Proxy.ExportData	admin JWT + AdminComplianceGuard	backend/internal/server/routes/admin.go:414	admin/proxies	no	http
POST	/api/v1/admin/proxies/data	h.Admin.Proxy.ImportData	admin JWT + AdminComplianceGuard	backend/internal/server/routes/admin.go:415	admin/proxies	no	http
GET	/api/v1/admin/redeem-codes	h.Admin.Redeem.List	admin JWT + AdminComplianceGuard	backend/internal/server/routes/admin.go:432	admin/redeem-codes	no	http
DELETE	/api/v1/admin/redeem-codes/:id	h.Admin.Redeem.Delete	admin JWT + AdminComplianceGuard	backend/internal/server/routes/admin.go:438	admin/redeem-codes	yes	http
GET	/api/v1/admin/redeem-codes/:id	h.Admin.Redeem.GetByID	admin JWT + AdminComplianceGuard	backend/internal/server/routes/admin.go:435	admin/redeem-codes	yes	http
POST	/api/v1/admin/redeem-codes/:id/expire	h.Admin.Redeem.Expire	admin JWT + AdminComplianceGuard	backend/internal/server/routes/admin.go:441	admin/redeem-codes	yes	http
POST	/api/v1/admin/redeem-codes/batch-delete	h.Admin.Redeem.BatchDelete	admin JWT + AdminComplianceGuard	backend/internal/server/routes/admin.go:439	admin/redeem-codes	no	http
POST	/api/v1/admin/redeem-codes/batch-update	h.Admin.Redeem.BatchUpdate	admin JWT + AdminComplianceGuard	backend/internal/server/routes/admin.go:440	admin/redeem-codes	no	http
POST	/api/v1/admin/redeem-codes/create-and-redeem	h.Admin.Redeem.CreateAndRedeem	admin JWT + AdminComplianceGuard	backend/internal/server/routes/admin.go:436	admin/redeem-codes	no	http
GET	/api/v1/admin/redeem-codes/export	h.Admin.Redeem.Export	admin JWT + AdminComplianceGuard	backend/internal/server/routes/admin.go:434	admin/redeem-codes	no	http
POST	/api/v1/admin/redeem-codes/generate	h.Admin.Redeem.Generate	admin JWT + AdminComplianceGuard	backend/internal/server/routes/admin.go:437	admin/redeem-codes	no	http
GET	/api/v1/admin/redeem-codes/stats	h.Admin.Redeem.GetStats	admin JWT + AdminComplianceGuard	backend/internal/server/routes/admin.go:433	admin/redeem-codes	no	http
POST	/api/v1/admin/risk-control/api-keys/test	h.Admin.ContentModeration.TestAPIKeys	admin JWT + AdminComplianceGuard	backend/internal/server/routes/admin.go:125	admin/risk-control	no	http
GET	/api/v1/admin/risk-control/config	h.Admin.ContentModeration.GetConfig	admin JWT + AdminComplianceGuard	backend/internal/server/routes/admin.go:123	admin/risk-control	no	http
PUT	/api/v1/admin/risk-control/config	h.Admin.ContentModeration.UpdateConfig	admin JWT + AdminComplianceGuard	backend/internal/server/routes/admin.go:124	admin/risk-control	no	http
DELETE	/api/v1/admin/risk-control/hashes	h.Admin.ContentModeration.DeleteFlaggedHash	admin JWT + AdminComplianceGuard	backend/internal/server/routes/admin.go:129	admin/risk-control	no	http
DELETE	/api/v1/admin/risk-control/hashes/all	h.Admin.ContentModeration.ClearFlaggedHashes	admin JWT + AdminComplianceGuard	backend/internal/server/routes/admin.go:130	admin/risk-control	no	http
GET	/api/v1/admin/risk-control/logs	h.Admin.ContentModeration.ListLogs	admin JWT + AdminComplianceGuard	backend/internal/server/routes/admin.go:127	admin/risk-control	no	http
GET	/api/v1/admin/risk-control/status	h.Admin.ContentModeration.GetStatus	admin JWT + AdminComplianceGuard	backend/internal/server/routes/admin.go:126	admin/risk-control	no	http
POST	/api/v1/admin/risk-control/users/:user_id/unban	h.Admin.ContentModeration.UnbanUser	admin JWT + AdminComplianceGuard	backend/internal/server/routes/admin.go:128	admin/risk-control	yes	http
POST	/api/v1/admin/scheduled-test-plans	h.Admin.ScheduledTest.Create	admin JWT + AdminComplianceGuard	backend/internal/server/routes/admin.go:606	admin/scheduled-test-plans	no	http
DELETE	/api/v1/admin/scheduled-test-plans/:id	h.Admin.ScheduledTest.Delete	admin JWT + AdminComplianceGuard	backend/internal/server/routes/admin.go:608	admin/scheduled-test-plans	yes	http
PUT	/api/v1/admin/scheduled-test-plans/:id	h.Admin.ScheduledTest.Update	admin JWT + AdminComplianceGuard	backend/internal/server/routes/admin.go:607	admin/scheduled-test-plans	yes	http
GET	/api/v1/admin/scheduled-test-plans/:id/results	h.Admin.ScheduledTest.ListResults	admin JWT + AdminComplianceGuard	backend/internal/server/routes/admin.go:609	admin/scheduled-test-plans	yes	http
GET	/api/v1/admin/settings	h.Admin.Setting.GetSettings	admin JWT + AdminComplianceGuard	backend/internal/server/routes/admin.go:460	admin/settings	no	http
PUT	/api/v1/admin/settings	h.Admin.Setting.UpdateSettings	admin JWT + AdminComplianceGuard	backend/internal/server/routes/admin.go:461	admin/settings	no	http
DELETE	/api/v1/admin/settings/admin-api-key	h.Admin.Setting.DeleteAdminAPIKey	admin JWT + AdminComplianceGuard	backend/internal/server/routes/admin.go:472	admin/settings	no	http
GET	/api/v1/admin/settings/admin-api-key	h.Admin.Setting.GetAdminAPIKey	admin JWT + AdminComplianceGuard	backend/internal/server/routes/admin.go:470	admin/settings	no	http
POST	/api/v1/admin/settings/admin-api-key/regenerate	h.Admin.Setting.RegenerateAdminAPIKey	admin JWT + AdminComplianceGuard	backend/internal/server/routes/admin.go:471	admin/settings	no	http
GET	/api/v1/admin/settings/beta-policy	h.Admin.Setting.GetBetaPolicySettings	admin JWT + AdminComplianceGuard	backend/internal/server/routes/admin.go:486	admin/settings	no	http
PUT	/api/v1/admin/settings/beta-policy	h.Admin.Setting.UpdateBetaPolicySettings	admin JWT + AdminComplianceGuard	backend/internal/server/routes/admin.go:487	admin/settings	no	http
POST	/api/v1/admin/settings/email-template-preview	h.Admin.Setting.PreviewEmailTemplate	admin JWT + AdminComplianceGuard	backend/internal/server/routes/admin.go:465	admin/settings	no	http
GET	/api/v1/admin/settings/email-templates	h.Admin.Setting.ListEmailTemplates	admin JWT + AdminComplianceGuard	backend/internal/server/routes/admin.go:464	admin/settings	no	http
GET	/api/v1/admin/settings/email-templates/:event/:locale	h.Admin.Setting.GetEmailTemplate	admin JWT + AdminComplianceGuard	backend/internal/server/routes/admin.go:466	admin/settings	yes	http
PUT	/api/v1/admin/settings/email-templates/:event/:locale	h.Admin.Setting.UpdateEmailTemplate	admin JWT + AdminComplianceGuard	backend/internal/server/routes/admin.go:467	admin/settings	yes	http
POST	/api/v1/admin/settings/email-templates/:event/:locale/restore-official	h.Admin.Setting.RestoreOfficialEmailTemplate	admin JWT + AdminComplianceGuard	backend/internal/server/routes/admin.go:468	admin/settings	yes	http
GET	/api/v1/admin/settings/overload-cooldown	h.Admin.Setting.GetOverloadCooldownSettings	admin JWT + AdminComplianceGuard	backend/internal/server/routes/admin.go:474	admin/settings	no	http
PUT	/api/v1/admin/settings/overload-cooldown	h.Admin.Setting.UpdateOverloadCooldownSettings	admin JWT + AdminComplianceGuard	backend/internal/server/routes/admin.go:475	admin/settings	no	http
GET	/api/v1/admin/settings/rate-limit-429-cooldown	h.Admin.Setting.GetRateLimit429CooldownSettings	admin JWT + AdminComplianceGuard	backend/internal/server/routes/admin.go:477	admin/settings	no	http
PUT	/api/v1/admin/settings/rate-limit-429-cooldown	h.Admin.Setting.UpdateRateLimit429CooldownSettings	admin JWT + AdminComplianceGuard	backend/internal/server/routes/admin.go:478	admin/settings	no	http
GET	/api/v1/admin/settings/rectifier	h.Admin.Setting.GetRectifierSettings	admin JWT + AdminComplianceGuard	backend/internal/server/routes/admin.go:483	admin/settings	no	http
PUT	/api/v1/admin/settings/rectifier	h.Admin.Setting.UpdateRectifierSettings	admin JWT + AdminComplianceGuard	backend/internal/server/routes/admin.go:484	admin/settings	no	http
POST	/api/v1/admin/settings/send-test-email	h.Admin.Setting.SendTestEmail	admin JWT + AdminComplianceGuard	backend/internal/server/routes/admin.go:463	admin/settings	no	http
GET	/api/v1/admin/settings/stream-timeout	h.Admin.Setting.GetStreamTimeoutSettings	admin JWT + AdminComplianceGuard	backend/internal/server/routes/admin.go:480	admin/settings	no	http
PUT	/api/v1/admin/settings/stream-timeout	h.Admin.Setting.UpdateStreamTimeoutSettings	admin JWT + AdminComplianceGuard	backend/internal/server/routes/admin.go:481	admin/settings	no	http
POST	/api/v1/admin/settings/test-smtp	h.Admin.Setting.TestSMTPConnection	admin JWT + AdminComplianceGuard	backend/internal/server/routes/admin.go:462	admin/settings	no	http
GET	/api/v1/admin/settings/web-search-emulation	h.Admin.Setting.GetWebSearchEmulationConfig	admin JWT + AdminComplianceGuard	backend/internal/server/routes/admin.go:489	admin/settings	no	http
PUT	/api/v1/admin/settings/web-search-emulation	h.Admin.Setting.UpdateWebSearchEmulationConfig	admin JWT + AdminComplianceGuard	backend/internal/server/routes/admin.go:490	admin/settings	no	http
POST	/api/v1/admin/settings/web-search-emulation/reset-usage	h.Admin.Setting.ResetWebSearchUsage	admin JWT + AdminComplianceGuard	backend/internal/server/routes/admin.go:492	admin/settings	no	http
POST	/api/v1/admin/settings/web-search-emulation/test	h.Admin.Setting.TestWebSearchEmulation	admin JWT + AdminComplianceGuard	backend/internal/server/routes/admin.go:491	admin/settings	no	http
GET	/api/v1/admin/subscriptions	h.Admin.Subscription.List	admin JWT + AdminComplianceGuard	backend/internal/server/routes/admin.go:558	admin/subscriptions	no	http
DELETE	/api/v1/admin/subscriptions/:id	h.Admin.Subscription.Revoke	admin JWT + AdminComplianceGuard	backend/internal/server/routes/admin.go:567	admin/subscriptions	yes	http
GET	/api/v1/admin/subscriptions/:id	h.Admin.Subscription.GetByID	admin JWT + AdminComplianceGuard	backend/internal/server/routes/admin.go:559	admin/subscriptions	yes	http
POST	/api/v1/admin/subscriptions/:id/extend	h.Admin.Subscription.Extend	admin JWT + AdminComplianceGuard	backend/internal/server/routes/admin.go:563	admin/subscriptions	yes	http
GET	/api/v1/admin/subscriptions/:id/progress	h.Admin.Subscription.GetProgress	admin JWT + AdminComplianceGuard	backend/internal/server/routes/admin.go:560	admin/subscriptions	yes	http
POST	/api/v1/admin/subscriptions/:id/reset-quota	h.Admin.Subscription.ResetQuota	admin JWT + AdminComplianceGuard	backend/internal/server/routes/admin.go:564	admin/subscriptions	yes	http
POST	/api/v1/admin/subscriptions/:id/restore	h.Admin.Subscription.Restore	admin JWT + AdminComplianceGuard	backend/internal/server/routes/admin.go:566	admin/subscriptions	yes	http
POST	/api/v1/admin/subscriptions/:id/revoke	h.Admin.Subscription.Revoke	admin JWT + AdminComplianceGuard	backend/internal/server/routes/admin.go:565	admin/subscriptions	yes	http
POST	/api/v1/admin/subscriptions/assign	h.Admin.Subscription.Assign	admin JWT + AdminComplianceGuard	backend/internal/server/routes/admin.go:561	admin/subscriptions	no	http
POST	/api/v1/admin/subscriptions/bulk-assign	h.Admin.Subscription.BulkAssign	admin JWT + AdminComplianceGuard	backend/internal/server/routes/admin.go:562	admin/subscriptions	no	http
GET	/api/v1/admin/system/check-updates	h.Admin.System.CheckUpdates	admin JWT + AdminComplianceGuard	backend/internal/server/routes/admin.go:547	admin/system	no	http
POST	/api/v1/admin/system/restart	h.Admin.System.RestartService	admin JWT + AdminComplianceGuard	backend/internal/server/routes/admin.go:551	admin/system	no	http
POST	/api/v1/admin/system/rollback	h.Admin.System.Rollback	admin JWT + AdminComplianceGuard	backend/internal/server/routes/admin.go:550	admin/system	no	http
GET	/api/v1/admin/system/rollback-versions	h.Admin.System.GetRollbackVersions	admin JWT + AdminComplianceGuard	backend/internal/server/routes/admin.go:548	admin/system	no	http
POST	/api/v1/admin/system/update	h.Admin.System.PerformUpdate	admin JWT + AdminComplianceGuard	backend/internal/server/routes/admin.go:549	admin/system	no	http
GET	/api/v1/admin/system/version	h.Admin.System.GetVersion	admin JWT + AdminComplianceGuard	backend/internal/server/routes/admin.go:546	admin/system	no	http
GET	/api/v1/admin/tls-fingerprint-profiles	h.Admin.TLSFingerprintProfile.List	admin JWT + AdminComplianceGuard	backend/internal/server/routes/admin.go:629	admin/tls-fingerprint-profiles	no	http
POST	/api/v1/admin/tls-fingerprint-profiles	h.Admin.TLSFingerprintProfile.Create	admin JWT + AdminComplianceGuard	backend/internal/server/routes/admin.go:631	admin/tls-fingerprint-profiles	no	http
DELETE	/api/v1/admin/tls-fingerprint-profiles/:id	h.Admin.TLSFingerprintProfile.Delete	admin JWT + AdminComplianceGuard	backend/internal/server/routes/admin.go:633	admin/tls-fingerprint-profiles	yes	http
GET	/api/v1/admin/tls-fingerprint-profiles/:id	h.Admin.TLSFingerprintProfile.GetByID	admin JWT + AdminComplianceGuard	backend/internal/server/routes/admin.go:630	admin/tls-fingerprint-profiles	yes	http
PUT	/api/v1/admin/tls-fingerprint-profiles/:id	h.Admin.TLSFingerprintProfile.Update	admin JWT + AdminComplianceGuard	backend/internal/server/routes/admin.go:632	admin/tls-fingerprint-profiles	yes	http
GET	/api/v1/admin/usage	h.Admin.Usage.List	admin JWT + AdminComplianceGuard	backend/internal/server/routes/admin.go:580	admin/usage	no	http
GET	/api/v1/admin/usage/cleanup-tasks	h.Admin.Usage.ListCleanupTasks	admin JWT + AdminComplianceGuard	backend/internal/server/routes/admin.go:585	admin/usage	no	http
POST	/api/v1/admin/usage/cleanup-tasks	h.Admin.Usage.CreateCleanupTask	admin JWT + AdminComplianceGuard	backend/internal/server/routes/admin.go:586	admin/usage	no	http
POST	/api/v1/admin/usage/cleanup-tasks/:id/cancel	h.Admin.Usage.CancelCleanupTask	admin JWT + AdminComplianceGuard	backend/internal/server/routes/admin.go:587	admin/usage	yes	http
GET	/api/v1/admin/usage/pending	h.Admin.Usage.PendingStats	admin JWT + AdminComplianceGuard	backend/internal/server/routes/admin.go:582	admin/usage	no	http
GET	/api/v1/admin/usage/search-api-keys	h.Admin.Usage.SearchAPIKeys	admin JWT + AdminComplianceGuard	backend/internal/server/routes/admin.go:584	admin/usage	no	http
GET	/api/v1/admin/usage/search-users	h.Admin.Usage.SearchUsers	admin JWT + AdminComplianceGuard	backend/internal/server/routes/admin.go:583	admin/usage	no	http
GET	/api/v1/admin/usage/stats	h.Admin.Usage.Stats	admin JWT + AdminComplianceGuard	backend/internal/server/routes/admin.go:581	admin/usage	no	http
GET	/api/v1/admin/user-attributes	h.Admin.UserAttribute.ListDefinitions	admin JWT + AdminComplianceGuard	backend/internal/server/routes/admin.go:594	admin/user-attributes	no	http
POST	/api/v1/admin/user-attributes	h.Admin.UserAttribute.CreateDefinition	admin JWT + AdminComplianceGuard	backend/internal/server/routes/admin.go:595	admin/user-attributes	no	http
DELETE	/api/v1/admin/user-attributes/:id	h.Admin.UserAttribute.DeleteDefinition	admin JWT + AdminComplianceGuard	backend/internal/server/routes/admin.go:599	admin/user-attributes	yes	http
PUT	/api/v1/admin/user-attributes/:id	h.Admin.UserAttribute.UpdateDefinition	admin JWT + AdminComplianceGuard	backend/internal/server/routes/admin.go:598	admin/user-attributes	yes	http
POST	/api/v1/admin/user-attributes/batch	h.Admin.UserAttribute.GetBatchUserAttributes	admin JWT + AdminComplianceGuard	backend/internal/server/routes/admin.go:596	admin/user-attributes	no	http
PUT	/api/v1/admin/user-attributes/reorder	h.Admin.UserAttribute.ReorderDefinitions	admin JWT + AdminComplianceGuard	backend/internal/server/routes/admin.go:597	admin/user-attributes	no	http
GET	/api/v1/admin/users	h.Admin.User.List	admin JWT + AdminComplianceGuard	backend/internal/server/routes/admin.go:248	admin/users	no	http
POST	/api/v1/admin/users	h.Admin.User.Create	admin JWT + AdminComplianceGuard	backend/internal/server/routes/admin.go:251	admin/users	no	http
DELETE	/api/v1/admin/users/:id	h.Admin.User.Delete	admin JWT + AdminComplianceGuard	backend/internal/server/routes/admin.go:253	admin/users	yes	http
GET	/api/v1/admin/users/:id	h.Admin.User.GetByID	admin JWT + AdminComplianceGuard	backend/internal/server/routes/admin.go:249	admin/users	yes	http
PUT	/api/v1/admin/users/:id	h.Admin.User.Update	admin JWT + AdminComplianceGuard	backend/internal/server/routes/admin.go:252	admin/users	yes	http
GET	/api/v1/admin/users/:id/api-keys	h.Admin.User.GetUserAPIKeys	admin JWT + AdminComplianceGuard	backend/internal/server/routes/admin.go:255	admin/users	yes	http
GET	/api/v1/admin/users/:id/attributes	h.Admin.UserAttribute.GetUserAttributes	admin JWT + AdminComplianceGuard	backend/internal/server/routes/admin.go:266	admin/users	yes	http
PUT	/api/v1/admin/users/:id/attributes	h.Admin.UserAttribute.UpdateUserAttributes	admin JWT + AdminComplianceGuard	backend/internal/server/routes/admin.go:267	admin/users	yes	http
POST	/api/v1/admin/users/:id/auth-identities	h.Admin.User.BindAuthIdentity	admin JWT + AdminComplianceGuard	backend/internal/server/routes/admin.go:250	admin/users	yes	http
POST	/api/v1/admin/users/:id/balance	h.Admin.User.UpdateBalance	admin JWT + AdminComplianceGuard	backend/internal/server/routes/admin.go:254	admin/users	yes	http
GET	/api/v1/admin/users/:id/balance-history	h.Admin.User.GetBalanceHistory	admin JWT + AdminComplianceGuard	backend/internal/server/routes/admin.go:257	admin/users	yes	http
GET	/api/v1/admin/users/:id/platform-quotas	h.Admin.User.GetUserPlatformQuotas	admin JWT + AdminComplianceGuard	backend/internal/server/routes/admin.go:261	admin/users	yes	http
PUT	/api/v1/admin/users/:id/platform-quotas	h.Admin.User.UpdateUserPlatformQuotas	admin JWT + AdminComplianceGuard	backend/internal/server/routes/admin.go:262	admin/users	yes	http
POST	/api/v1/admin/users/:id/platform-quotas/reset	h.Admin.User.ResetUserPlatformQuotaWindow	admin JWT + AdminComplianceGuard	backend/internal/server/routes/admin.go:263	admin/users	yes	http
POST	/api/v1/admin/users/:id/replace-group	h.Admin.User.ReplaceGroup	admin JWT + AdminComplianceGuard	backend/internal/server/routes/admin.go:258	admin/users	yes	http
GET	/api/v1/admin/users/:id/rpm-status	h.Admin.User.GetUserRPMStatus	admin JWT + AdminComplianceGuard	backend/internal/server/routes/admin.go:259	admin/users	yes	http
GET	/api/v1/admin/users/:id/subscriptions	h.Admin.Subscription.ListByUser	admin JWT + AdminComplianceGuard	backend/internal/server/routes/admin.go:574	admin/users	yes	http
GET	/api/v1/admin/users/:id/usage	h.Admin.User.GetUserUsage	admin JWT + AdminComplianceGuard	backend/internal/server/routes/admin.go:256	admin/users	yes	http
POST	/api/v1/admin/users/batch-concurrency	h.Admin.User.BatchUpdateConcurrency	admin JWT + AdminComplianceGuard	backend/internal/server/routes/admin.go:260	admin/users	no	http
GET	/api/v1/announcements	h.Announcement.List	JWT + BackendModeUserGuard	backend/internal/server/routes/user.go:100	user/announcements	no	http
POST	/api/v1/announcements/:id/read	h.Announcement.MarkRead	JWT + BackendModeUserGuard	backend/internal/server/routes/user.go:101	user/announcements	yes	http
POST	/api/v1/auth/forgot-password	h.Auth.ForgotPassword	public + BackendModeAuthGuard + L1/Redis rate limit (fail-close in Go)	backend/internal/server/routes/auth.go:58	auth/session-identity	no	http
POST	/api/v1/auth/login	h.Auth.Login	public + BackendModeAuthGuard + L1/Redis rate limit (fail-close in Go)	backend/internal/server/routes/auth.go:34	auth/session-identity	no	http
POST	/api/v1/auth/login/2fa	h.Auth.Login2FA	public + BackendModeAuthGuard + L1/Redis rate limit (fail-close in Go)	backend/internal/server/routes/auth.go:37	auth/session-identity	no	http
POST	/api/v1/auth/logout	h.Auth.Logout	public + BackendModeAuthGuard	backend/internal/server/routes/auth.go:48	auth/session-identity	no	http
GET	/api/v1/auth/me	h.Auth.GetCurrentUser	JWT + BackendModeUserGuard	backend/internal/server/routes/auth.go:225	auth/session-identity	no	http
POST	/api/v1/auth/oauth/bind-token	h.Auth.PrepareOAuthBindAccessTokenCookie	JWT + BackendModeUserGuard	backend/internal/server/routes/auth.go:228	auth/oauth	no	http
GET	/api/v1/auth/oauth/dingtalk/bind/start	h.Auth.DingTalkOAuthStart	public + BackendModeAuthGuard	backend/internal/server/routes/auth.go:186	auth/oauth	no	http
POST	/api/v1/auth/oauth/dingtalk/bind-login	h.Auth.BindDingTalkOAuthLogin	public + BackendModeAuthGuard + L1/Redis rate limit (fail-close in Go)	backend/internal/server/routes/auth.go:199	auth/oauth	no	http
GET	/api/v1/auth/oauth/dingtalk/callback	h.Auth.DingTalkOAuthCallback	public + BackendModeAuthGuard	backend/internal/server/routes/auth.go:192	auth/oauth	no	http
POST	/api/v1/auth/oauth/dingtalk/complete-registration	h.Auth.CompleteDingTalkOAuthRegistration	public + BackendModeAuthGuard + L1/Redis rate limit (fail-close in Go)	backend/internal/server/routes/auth.go:193	auth/oauth	no	http
POST	/api/v1/auth/oauth/dingtalk/create-account	h.Auth.CreateDingTalkOAuthAccount	public + BackendModeAuthGuard + L1/Redis rate limit (fail-close in Go)	backend/internal/server/routes/auth.go:205	auth/oauth	no	http
GET	/api/v1/auth/oauth/dingtalk/start	h.Auth.DingTalkOAuthStart	public + BackendModeAuthGuard	backend/internal/server/routes/auth.go:185	auth/oauth	no	http
GET	/api/v1/auth/oauth/github/callback	h.Auth.GitHubOAuthCallback	public + BackendModeAuthGuard	backend/internal/server/routes/auth.go:67	auth/oauth	no	http
POST	/api/v1/auth/oauth/github/complete-registration	h.Auth.CompleteGitHubOAuthRegistration	public + BackendModeAuthGuard + L1/Redis rate limit (fail-close in Go)	backend/internal/server/routes/auth.go:68	auth/oauth	no	http
GET	/api/v1/auth/oauth/github/start	h.Auth.GitHubOAuthStart	public + BackendModeAuthGuard	backend/internal/server/routes/auth.go:66	auth/oauth	no	http
GET	/api/v1/auth/oauth/google/callback	h.Auth.GoogleOAuthCallback	public + BackendModeAuthGuard	backend/internal/server/routes/auth.go:75	auth/oauth	no	http
POST	/api/v1/auth/oauth/google/complete-registration	h.Auth.CompleteGoogleOAuthRegistration	public + BackendModeAuthGuard + L1/Redis rate limit (fail-close in Go)	backend/internal/server/routes/auth.go:76	auth/oauth	no	http
GET	/api/v1/auth/oauth/google/start	h.Auth.GoogleOAuthStart	public + BackendModeAuthGuard	backend/internal/server/routes/auth.go:74	auth/oauth	no	http
GET	/api/v1/auth/oauth/linuxdo/bind/start	h.Auth.LinuxDoOAuthStart	public + BackendModeAuthGuard	backend/internal/server/routes/auth.go:82	auth/oauth	no	http
POST	/api/v1/auth/oauth/linuxdo/bind-login	h.Auth.BindLinuxDoOAuthLogin	public + BackendModeAuthGuard + L1/Redis rate limit (fail-close in Go)	backend/internal/server/routes/auth.go:129	auth/oauth	no	http
GET	/api/v1/auth/oauth/linuxdo/callback	h.Auth.LinuxDoOAuthCallback	public + BackendModeAuthGuard	backend/internal/server/routes/auth.go:88	auth/oauth	no	http
POST	/api/v1/auth/oauth/linuxdo/complete-registration	h.Auth.CompleteLinuxDoOAuthRegistration	public + BackendModeAuthGuard + L1/Redis rate limit (fail-close in Go)	backend/internal/server/routes/auth.go:123	auth/oauth	no	http
POST	/api/v1/auth/oauth/linuxdo/create-account	h.Auth.CreateLinuxDoOAuthAccount	public + BackendModeAuthGuard + L1/Redis rate limit (fail-close in Go)	backend/internal/server/routes/auth.go:135	auth/oauth	no	http
GET	/api/v1/auth/oauth/linuxdo/start	h.Auth.LinuxDoOAuthStart	public + BackendModeAuthGuard	backend/internal/server/routes/auth.go:65	auth/oauth	no	http
GET	/api/v1/auth/oauth/oidc/bind/start	h.Auth.OIDCOAuthStart	public + BackendModeAuthGuard	backend/internal/server/routes/auth.go:160	auth/oauth	no	http
POST	/api/v1/auth/oauth/oidc/bind-login	h.Auth.BindOIDCOAuthLogin	public + BackendModeAuthGuard + L1/Redis rate limit (fail-close in Go)	backend/internal/server/routes/auth.go:173	auth/oauth	no	http
GET	/api/v1/auth/oauth/oidc/callback	h.Auth.OIDCOAuthCallback	public + BackendModeAuthGuard	backend/internal/server/routes/auth.go:166	auth/oauth	no	http
POST	/api/v1/auth/oauth/oidc/complete-registration	h.Auth.CompleteOIDCOAuthRegistration	public + BackendModeAuthGuard + L1/Redis rate limit (fail-close in Go)	backend/internal/server/routes/auth.go:167	auth/oauth	no	http
POST	/api/v1/auth/oauth/oidc/create-account	h.Auth.CreateOIDCOAuthAccount	public + BackendModeAuthGuard + L1/Redis rate limit (fail-close in Go)	backend/internal/server/routes/auth.go:179	auth/oauth	no	http
GET	/api/v1/auth/oauth/oidc/start	h.Auth.OIDCOAuthStart	public + BackendModeAuthGuard	backend/internal/server/routes/auth.go:159	auth/oauth	no	http
POST	/api/v1/auth/oauth/pending/bind-login	h.Auth.BindPendingOAuthLogin	public + BackendModeAuthGuard + L1/Redis rate limit (fail-close in Go)	backend/internal/server/routes/auth.go:117	auth/oauth	no	http
POST	/api/v1/auth/oauth/pending/create-account	h.Auth.CreatePendingOAuthAccount	public + BackendModeAuthGuard + L1/Redis rate limit (fail-close in Go)	backend/internal/server/routes/auth.go:111	auth/oauth	no	http
POST	/api/v1/auth/oauth/pending/exchange	h.Auth.ExchangePendingOAuthCompletion	public + BackendModeAuthGuard + L1/Redis rate limit (fail-close in Go)	backend/internal/server/routes/auth.go:99	auth/oauth	no	http
POST	/api/v1/auth/oauth/pending/send-verify-code	h.Auth.SendPendingOAuthVerifyCode	public + BackendModeAuthGuard + L1/Redis rate limit (fail-close in Go)	backend/internal/server/routes/auth.go:105	auth/oauth	no	http
GET	/api/v1/auth/oauth/wechat/bind/start	h.Auth.WeChatOAuthStart	public + BackendModeAuthGuard	backend/internal/server/routes/auth.go:90	auth/oauth	no	http
POST	/api/v1/auth/oauth/wechat/bind-login	h.Auth.BindWeChatOAuthLogin	public + BackendModeAuthGuard + L1/Redis rate limit (fail-close in Go)	backend/internal/server/routes/auth.go:147	auth/oauth	no	http
GET	/api/v1/auth/oauth/wechat/callback	h.Auth.WeChatOAuthCallback	public + BackendModeAuthGuard	backend/internal/server/routes/auth.go:96	auth/oauth	no	http
POST	/api/v1/auth/oauth/wechat/complete-registration	h.Auth.CompleteWeChatOAuthRegistration	public + BackendModeAuthGuard + L1/Redis rate limit (fail-close in Go)	backend/internal/server/routes/auth.go:141	auth/oauth	no	http
POST	/api/v1/auth/oauth/wechat/create-account	h.Auth.CreateWeChatOAuthAccount	public + BackendModeAuthGuard + L1/Redis rate limit (fail-close in Go)	backend/internal/server/routes/auth.go:153	auth/oauth	no	http
GET	/api/v1/auth/oauth/wechat/payment/callback	h.Auth.WeChatPaymentOAuthCallback	public + BackendModeAuthGuard	backend/internal/server/routes/auth.go:98	auth/oauth	no	http
GET	/api/v1/auth/oauth/wechat/payment/start	h.Auth.WeChatPaymentOAuthStart	public + BackendModeAuthGuard	backend/internal/server/routes/auth.go:97	auth/oauth	no	http
GET	/api/v1/auth/oauth/wechat/start	h.Auth.WeChatOAuthStart	public + BackendModeAuthGuard	backend/internal/server/routes/auth.go:89	auth/oauth	no	http
POST	/api/v1/auth/refresh	h.Auth.RefreshToken	public + BackendModeAuthGuard + L1/Redis rate limit (fail-close in Go)	backend/internal/server/routes/auth.go:44	auth/session-identity	no	http
POST	/api/v1/auth/register	h.Auth.Register	public + BackendModeAuthGuard + L1/Redis rate limit (fail-close in Go)	backend/internal/server/routes/auth.go:31	auth/session-identity	no	http
POST	/api/v1/auth/reset-password	h.Auth.ResetPassword	public + BackendModeAuthGuard + L1/Redis rate limit (fail-close in Go)	backend/internal/server/routes/auth.go:62	auth/session-identity	no	http
POST	/api/v1/auth/revoke-all-sessions	h.Auth.RevokeAllSessions	JWT + BackendModeUserGuard	backend/internal/server/routes/auth.go:227	auth/session-identity	no	http
POST	/api/v1/auth/send-verify-code	h.Auth.SendVerifyCode	public + BackendModeAuthGuard + L1/Redis rate limit (fail-close in Go)	backend/internal/server/routes/auth.go:40	auth/session-identity	no	http
